,preprocessed_name,NAME,CITY_x,STATE
297,montgomerycommunitycollege,MONTGOMERY COMMUNITY COLLEGE,Troy,NC
298,montreatcollege,MONTREAT COLLEGE,Montreat,NC
300,nashcommunitycollege,NASH COMMUNITY COLLEGE,Rocky Mount,NC
307,northcarolinawesleyancollege,NORTH CAROLINA WESLEYAN COLLEGE,Rocky Mount,NC
309,pamlicocommunitycollege,PAMLICO COMMUNITY COLLEGE,Grantsboro,NC
313,piedmontcommunitycollege,PIEDMONT COMMUNITY COLLEGE,Roxboro,NC
314,pittcommunitycollege,PITT COMMUNITY COLLEGE,Winterville,NC
244,randolphcommunitycollege,RANDOLPH COMMUNITY COLLEGE,Asheboro,NC
316,richmondcommunitycollege,RICHMOND COMMUNITY COLLEGE,Hamlet,NC
317,roanokechowancommunitycollege,ROANOKE-CHOWAN COMMUNITY COLLEGE,Ahoskie,NC
318,robesoncommunitycollege,ROBESON COMMUNITY COLLEGE,Lumberton,NC
319,rockinghamcommunitycollege,ROCKINGHAM COMMUNITY COLLEGE,Wentworth,NC
321,saintaugustinesuniversity,SAINT AUGUSTINE'S UNIVERSITY,Raleigh,NC
323,sampsoncommunitycollege,SAMPSON COMMUNITY COLLEGE,Clinton,NC
324,sandhillscommunitycollege,SANDHILLS COMMUNITY COLLEGE,Pinehurst,NC
325,shawuniversity,SHAW UNIVERSITY,Raleigh,NC
327,southeasternbaptisttheologicalseminary,SOUTHEASTERN BAPTIST THEOLOGICAL SEMINARY,Wake Forest,NC
299,universitymountolive,UNIVERSITY OF MOUNT OLIVE,Mount Olive,NC
341,vancegranvillecommunitycollege,VANCE-GRANVILLE COMMUNITY COLLEGE,Henderson,NC
334,waynecommunitycollege,WAYNE COMMUNITY COLLEGE,Goldsboro,NC
310,williampeaceuniversity,WILLIAM PEACE UNIVERSITY,Raleigh,NC
338,wingateuniversity,WINGATE UNIVERSITY,Wingate,NC
1339,minotstateuniversity,MINOT STATE UNIVERSITY,Minot,ND
1345,turtlemountaincommunitycollege,TURTLE MOUNTAIN COMMUNITY COLLEGE,Belcourt,ND
1333,universityjamestown,UNIVERSITY OF JAMESTOWN,Jamestown,ND
1470,clarksoncollege,CLARKSON COLLEGE,Omaha,NE
1473,concordiauniversitynebraska,CONCORDIA UNIVERSITY-NEBRASKA,Seward,NE
1475,doaneuniversityartssciences,DOANE UNIVERSITY-ARTS &amp; SCIENCES,Crete,NE
1493,metropolitancommunitycollegeareasouthomahacampus,METROPOLITAN COMMUNITY COLLEGE AREA - SOUTH OMAHA CAMPUS,Omaha,NE
1490,southeastcommunitycollegeareabeatricecampus,SOUTHEAST COMMUNITY COLLEGE AREA - BEATRICE CAMPUS,,NE
1492,southeastcommunitycollegeareaeducationsquarecampus,SOUTHEAST COMMUNITY COLLEGE AREA - EDUCATION SQUARE CAMPUS,Lincoln,NE
1491,southeastcommunitycollegeareamilfordcampus,SOUTHEAST COMMUNITY COLLEGE AREA - MILFORD CAMPUS,,NE
1494,westernnebraskacommunitycollegesidneycampus,WESTERN NEBRASKA COMMUNITY COLLEGE - SIDNEY CAMPUS,,NE
1489,yorkcollege,YORK COLLEGE,York,NE
1332,antiochuniversitynewengland,ANTIOCH UNIVERSITY-NEW ENGLAND,,NH
1320,colbysawyercollege,COLBY-SAWYER COLLEGE,New London,NH
1321,franklinpierceuniversity,FRANKLIN PIERCE UNIVERSITY,Rindge,NH
1318,greatbaycommunitycollege,GREAT BAY COMMUNITY COLLEGE,Portsmouth,NH
1328,lakesregioncommunitycollege,LAKES REGION COMMUNITY COLLEGE,Laconia,NH
1329,nashuacommunitycollege,NASHUA COMMUNITY COLLEGE,Nashua,NH
1327,nhticoncordscommunitycollege,NHTI-CONCORD'S COMMUNITY COLLEGE,Concord,NH
1315,rivervalleycommunitycollege,RIVER VALLEY COMMUNITY COLLEGE,Claremont,NH
1330,rivieruniversity,RIVIER UNIVERSITY,Nashua,NH
1331,saintanselmcollege,SAINT ANSELM COLLEGE,Manchester,NH
1316,whitemountainscommunitycollege,WHITE MOUNTAINS COMMUNITY COLLEGE,Berlin,NH
1688,mesalandscommunitycollege,MESALANDS COMMUNITY COLLEGE,Tucumcari,NM
1671,navajotechnicaluniversity,NAVAJO TECHNICAL UNIVERSITY,Crownpoint,NM
1676,newmexicojuniorcollege,NEW MEXICO JUNIOR COLLEGE,Hobbs,NM
1686,northernnewmexicocollege,NORTHERN NEW MEXICO COLLEGE,Espanola,NM
1691,southwesternindianpolytechnicinstitute,SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE,Albuquerque,NM
1687,universitysouthwest,UNIVERSITY OF THE SOUTHWEST,Hobbs,NM
1689,westernnewmexicouniversity,WESTERN NEW MEXICO UNIVERSITY,Silver City,NM
980,northwestcareercollege,NORTHWEST CAREER COLLEGE,,NV
975,sierranevadacollege,SIERRA NEVADA COLLEGE,Incline Village,NV
979,tourouniversitynevada,TOURO UNIVERSITY NEVADA,Henderson,NV
868,adirondackcommunitycollege,ADIRONDACK COMMUNITY COLLEGE,Queensbury,NY
918,bardcollege,BARD COLLEGE,Annandale-On-Hudson,NY
935,boricuacollege,BORICUA COLLEGE,New York,NY
